ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
A24Duala,A24Duala,,,,,,,
A43aBasaa,A43aBasaa,,,,,,,
A44Nen,A44Nen,,,,,,,
A53Rikpa,A53Rikpa,,,,,,,
A72Ewondo,A72Ewondo,,,,,,,
A74Bulu,A74Bulu,,,,,,,
B74Boma,B74Boma,,,,,,,
B78FumuW,B78FumuW,,,,,,,
B85Yanz1,B85Yanz1,,,,,,,
C24Koyo1,C24Koyo1,,,,,,,
C32Bobang,C32Bobang,,,,,,,
C34Sakata,C34Sakata,,,,,,,
C41Ngombe,C41Ngombe,,,,,,,
C45Angba,C45Angba,,,,,,,
C52So4B,C52So4B,,,,,,,
C55Kele2,C55Kele2,,,,,,,
C61Mongo,C61Mongo,,,,,,,
C71Tetela,C71Tetela,,,,,,,
C76Ombo,C76Ombo,,,,,,,
C83Bushon,C83Bushon,,,,,,,
D12Lengol,D12Lengol,,,,,,,
D13Mituku,D13Mituku,,,,,,,
D14Enya1,D14Enya1,,,,,,,
D25Lega2,D25Lega2,,,,,,,
D26Binja,D26Binja,,,,,,,
D28Holoho,D28Holoho,,,,,,,
D35Bodo1,D35Bodo1,,,,,,,
D37Kumu1,D37Kumu1,,,,,,,
D43Nyanga,D43Nyanga,,,,,,,
E51Gikuyu,E51Gikuyu,,,,,,,
E55Kamba,E55Kamba,,,,,,,
E62Caga1,E62Caga1,,,,,,,
E71Pokomo,E71Pokomo,,,,,,,
F21Sukuma,F21Sukuma,,,,,,,
F22Nyamwe,F22Nyamwe,,,,,,,
F23Sumbwa,F23Sumbwa,,,,,,,
G23Shamba,G23Shamba,,,,,,,
G42Swahil,G42Swahil,,,,,,,
G65Kinga,G65Kinga,,,,,,,
H11Bembe,H11Bembe,,,,,,,
H12bYombe,H12bYombe,,,,,,,
H31Yaka1,H31Yaka1,,,,,,,
J13Hima,J13Hima,,,,,,,
J15Ganda,J15Ganda,,,,,,,
J22HHaya,J22HHaya,,,,,,,
J31cBukus,J31cBukus,,,,,,,
J34Samia,J34Samia,,,,,,,
J42Nande,J42Nande,,,,,,,
J53Shi,J53Shi,,,,,,,
J61Rwanda,J61Rwanda,,,,,,,
J62Rundi,J62Rundi,,,,,,,
K11Ciokwe,K11Ciokwe,,,,,,,
K14Lwena,K14Lwena,,,,,,,
K21Salamp,K21Salamp,,,,,,,
K22Lunda,K22Lunda,,,,,,,
K23Ruund,K23Ruund,,,,,,,
K31Luyi,K31Luyi,,,,,,,
K33Kwanga,K33Kwanga,,,,,,,
K39Dcirik,K39Dcirik,,,,,,,
K50Holu,K50Holu,,,,,,,
K51Mbala,K51Mbala,,,,,,,
K53Kwezo,K53Kwezo,,,,,,,
L21Kete1,L21Kete1,,,,,,,
L23Songye,L23Songye,,,,,,,
L27Bangub,L27Bangub,,,,,,,
L31LubaK,L31LubaK,,,,,,,
L33LubaS,L33LubaS,,,,,,,
L35Sanga,L35Sanga,,,,,,,
L42Kaonde,L42Kaonde,,,,,,,
M31Nyakyu,M31Nyakyu,,,,,,,
M41Tabwa,M41Tabwa,,,,,,,
M42Bemba,M42Bemba,,,,,,,
M54Lamba,M54Lamba,,,,,,,
M64Tonga,M64Tonga,,,,,,,
N31aNyanj,N31aNyanj,,,,,,,
N44Sena,N44Sena,,,,,,,
P21Yao1,P21Yao1,,,,,,,
P31Makwa,P31Makwa,,,,,,,
R11Umbund,R11Umbund,,,,,,,
R21Kwanya,R21Kwanya,,,,,,,
R31Herero,R31Herero,,,,,,,
S10Shona,S10Shona,,,,,,,
S21Venda,S21Venda,,,,,,,
S31dKhala,S31dKhala,,,,,,,
S42Zulu,S42Zulu,,,,,,,
S53Tsonga,S53Tsonga,,,,,,,
S54Ronga,S54Ronga,,,,,,,
